Company,Country,Flag,Main BVR Role (precise product),Arms,Total
Aerospace Times Feihong Technology Corporation,China,🇨🇳,FH-97A loyal-wingman; AESA nose; 4 × PL-15E internal bay; AI swarm controller for J-35; J-35 carrier-based stealth fighter; onboard KLJ-7A AESA radar,N/A,USD 2.2bn (2023)
AVIC,China,🇨🇳,Cloud-Sword CCA; internal bay for PL-15E; wing-man to J-20; J-20 Mighty Dragon stealth fighter; onboard KLJ-5 AESA radar,USD 20.9bn (2023),USD 83.4bn (2023)
Sukhoi (UAC),Russia,🇷🇺,S-70 Okhotnik-B stealth UCAV; internal bay for R-77M / R-37M; BVR datalink to Su-57,USD 5.4bn (2024),USD 5.4bn (2024)
Mikoyan (UAC),Russia,🇷🇺,Skat UCAV follow-on; low-observable BVR missile bay; integrated with Su-35S/Su-30SM2,USD 5.4bn (2024),USD 5.4bn (2024)
IAI (Israel Aerospace Industries),Israel,🇮🇱,"""Neon"" loyal-wingman; AESA nose; Derby-ER external / future internal bay; BVR relay for F-35I; ELM-2052 AESA radar (Gripen E, Tejas Mk1A); Barak-8 LR-SAM seeker tech transferred to air-launched BVR",USD 6.1bn (2024),USD 6.1bn (2024)
Korea Aerospace Industries (KAI),South Korea,🇰🇷,Low-Observable UCAV CCA; internal bay for Meteor / AIM-120D-3; wing-man to KF-21; KF-21 Block-I/II BVR platform; local AESA radar & missile pylons,USD 2.6bn (2024),USD 2.6bn (2024)
LIG Nex1,South Korea,🇰🇷,BVR seeker heads for K-SAAM & future air-launched Meteor-K; CCA datalink modem; KF-21 Boramae AESA radar (licence-built); K-SAAM seeker tech; AIM-120C-7 & Meteor integration,USD 2.4bn (2024),USD 2.4bn (2024)
Mitsubishi Heavy Industries,Japan,🇯🇵,"""Combat Support Drone"" CCA; BVR datalink to F-35A; future AAM-4B internal bay; F-35A Final Assembly & Check-Out (FACO); AAM-4B active radar BVR missile; J/APG-2 AESA (F-2)",USD 6.7bn (2023),N/A
Northrop Grumman,United States,🇺🇸,Model 437 loyal-wingman; BVR AIM-120D-3 internal bay; low-cost attritable AESA nose; AN/APG-85 AESA (F-35); AN/APG-77(V)1 (F-22); software-defined radio for JATM datalink,USD 35.6bn (2023),USD 39.3bn (2023)
Shield AI,United States,🇺🇸,"""V-BAT Teams"" & ""Fury"" CCA; Hivemind AI pilot; AIM-120D-3 carriage; BVR swarm coordination",USD 0.8bn (2024),USD 0.8bn (2024)
Lockheed Martin,United States,🇺🇸,"F-22 Raptor, F-35 Lightning II (stealth jets); AN/APG-77(V)1 AESA radar; AIM-260 JATM (next-gen BVR missile)",USD 60.8bn (2023),USD 67.6bn (2023)
RTX Corporation (Raytheon),United States,🇺🇸,"AIM-120D/D-3 AMRAAM, AIM-260 JATM (BVR missiles); AN/APG-79(V)4 AESA (Super Hornet); AN/ALR-94 EW suite (F-22)",USD 40.7bn (2023),USD 68.9bn (2023)
MBDA,United Kingdom,🇬🇧,Meteor (long-range BVR missile); MICA-NG (medium-range); active seeker heads & ramjet propulsion,USD 5.3bn (2024),USD 5.3bn (2024)
Leonardo,Italy,🇮🇹,Typhoon Captor-E AESA radar; EW/ESM systems; Meteor seeker head assembly,USD 12.4bn (2023),USD 16.5bn (2023)
Vympel NPO (Tactical Missiles Corp.),Russia,🇷🇺,R-77M (RVV-AE-PD) & R-37M hypersonic BVR missiles; active radar seekers,N/A,N/A
Almaz-Antey,Russia,🇷🇺,Su-57 / Su-35S fire-control radars (N036 Byelka AESA); S-111 BVR seeker for R-77M,USD 9.1bn (2023),N/A
KRET (Concern Radio-Electronic Technologies),Russia,🇷🇺,Su-57 L402 Himalayas EW suite; BVR missile seekers; active radar homing heads,N/A,N/A
Elbit Systems,Israel,🇮🇱,EW & AESA sub-systems for F-16I & F-35I; helmet-mounted cueing for BVR shots,USD 6.8bn (2024),USD 6.8bn (2024)
Thales Group,France,🇫🇷,RBE2-AA AESA radar; SPECTRA EW suite; Meteor seeker front-end,USD 10.4bn (2023),USD 19.9bn (2023)
Hindustan Aeronautics Ltd. (HAL),India,🇮🇳,Tejas Mk1A with ELM-2052 AESA; local integration of Astra Mk1/2 BVR missiles,USD 3.6bn (2024),USD 3.6bn (2024)
Defence Research & Development Organisation (DRDO),India,🇮🇳,Astra Mk1 (110 km) / Astra Mk2 (160 km) indigenous BVR missiles; active radar seeker,N/A,USD 3.2bn (2024)
NEC Corporation,Japan,🇯🇵,J/APG-2 AESA radar backend; signal processing for AAM-4B seeker,N/A,USD 23.0bn (2023)
Safran Electronics & Defense,France,🇫🇷,Inertial navigation & active seeker for Meteor; IR seekers for MICA,N/A,USD 29.5bn (2023)
General Electric Aviation,United States,🇺🇸,F-22/F-35 engines (F119/F135) – enables super-cruise for longer BVR reach,USD 6.0bn (2024),USD 38.7bn (2024)
Rolls-Royce,United Kingdom,🇬🇧,EJ200 engine (Eurofighter) – super-cruise for Meteor launch envelope,USD 3.0bn (2024),USD 22.6bn (2024)
Safran Aircraft Engines,France,🇫🇷,M88 engine (Rafale) – super-cruise for Meteor optimal launch,N/A,USD 29.5bn (2023)
McDonnell Douglas,United States,🇺🇸,F-15 Eagle (legacy BVR platform); AN/APG-63 radar; AIM-7 Sparrow / AIM-120 AMRAAM integration; F/A-18 Hornet; AN/APG-73 radar; early BVR missile carriage,USD 31.1bn (2023),USD 77.8bn (2023)
