Aircraft,Company,Photo,Origin,Type,Versions,In Service,Airport,Manned,BVR kill chain,Associated products,country
G550 CAEW Nachshon Eitam,Gulfstream Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/APROC_2018-4.jpg/1280px-APROC_2018-4.jpg,Israel,Airborne Early Warning & Control,Nachshon Eitam,4,Nevatim Airbase,Yes,"CAEW with EL/I-2085 AESA radar (400 km horizon) for off-board targeting and mid-course AIM-120 updates; 103rd Squadron at Nevatim, critical kill-chain enabler (2 more ordered 2024) for F-35/F-15 salvos to 200 km. F2T2EA: EL/I-2085 Find/Fix horizon; Tracks off-board; Targets AIM-120 updates; Engage directed; Assess CAEW.","EL/I-2085 AESA radar, Link-16, F-35I Adir",isr
Boeing 707 Re'em,Boeing Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Nevatim-Air-Base-4.jpg/1280px-Nevatim-Air-Base-4.jpg,Israel,Aerial Refueling Tanker,707 Re'em,7,Nevatim Airbase,Yes,"Converted KC-707 with boom refueling for 2+ hour BVR extensions on F-15/F-16; 120th Squadron at Lod, enables sustained patrols (retiring by 2028 for KC-46); integrates with CAEW for persistent ops. F2T2EA: Refueling extends Track/Engage; Sustains patrols; Targets persistent; Assess boom.","Boom refueling system, G550 CAEW, F-16 Fighting Falcon",isr
G550 Shavit Nachshon,Gulfstream Israel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Gulfstream-sahvit.jpg/1280px-Gulfstream-sahvit.jpg,Israel,SIGINT / ELINT,Nachshon Shavit,3,Nevatim Airbase,Yes,"ELINT platform with EL/I-3001 suite (300 km sensors) for enemy radar cueing/jamming; supports BVR by degrading IADS; 122nd Squadron at Nevatim, enhances multi-domain fusion with F-35 datalinks. F2T2EA: EL/I-3001 Find threats; Tracks cueing/jamming; Targets IADS; Engage degraded; Assess fusion.","EL/I-3001 suite, datalinks, F-35I Adir",isr
EL/M-2052 AESA Radar,Elta Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Airborne AESA Fire Control Radar,EL/M-2052,0,N/A (export system),No,X-Band AESA radar for multi-target tracking and long-range detection; offered for export fighters like Tejas Mk1A (first batches 2025); integrates with Israeli avionics for BVR enhancement. F2T2EA: AESA Find/Fix on Gripen/Tejas; Tracks multiple; Targets cueing; Engage BVR missiles; Assess ESM.,"Tejas Mk1A, Astra Mk1, Barak-8 seeker tech",isr
Elbit EW & AESA Sub-systems,Elbit Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Electronic Warfare & AESA Sub-systems,EW & AESA,102,N/A (integrated systems),No,"Advanced self-protection suites for F-16I, including EW jammers and AESA components; $80M contract 2025 equips fleet for enhanced survivability in contested airspace. F2T2EA: Sub-systems Find/Fix F-16I/F-35I; Tracks cueing; Targets helmet BVR; Engage shots; Assess Israeli.","F-16I Sufa, F-35I Adir, Derby-ER",isr
Neon Loyal Wingman,Israel Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Israel,Loyal Wingman UCAV,Neon,0,Palmachim Air Base (developmental),No,AESA-equipped loyal wingman for F-35I relay and BVR extension; concept demonstrator for future swarm ops. F2T2EA: AESA nose Find for F-35I; Tracks relay; Targets Derby-ER; Engage internal future; Assess BVR relay.,"F-35I Adir, Derby-ER, EL/M-2052 AESA radar",isr
IAI Harop,Israel Aerospace Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/IAI_Harop_PAS_2013_01.jpg/1280px-IAI_Harop_PAS_2013_01.jpg,Israel,Loitering Munition Drone,Harop,100+,Ramon Air Base,No,"Loitering attack drone with electro-optical seeker and autonomous strike capability; 1,000 km range; can identify and destroy radar emitters; used in SEAD/BVR kill chains for suppression of air defences. F2T2EA: EO seeker Find; Fix emitter; Track autonomously; Target radar; Engage dive; Assess via feed.","IAI Harpy, EL/M-2052, F-16I Sufa",isr
I-Derby ER,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Rafael_I-Derby_Missiles.jpg/1280px-Rafael_I-Derby_Missiles.jpg,Israel,Long Range BVR Air-to-Air Missile,I-Derby ER,500,N/A (missile system),No,"Active radar-guided BVR missile with 100+ km range, two-way data link for mid-course updates and full-sphere launch; integrated on Israeli F-16I and F-15I for extended envelope with AESA cueing; combat-proven in IAF operations. F2T2EA: AESA Find/Fix; Tracks data link; Targets active radar; Engage 100km; Assess terminal guidance.","F-16I Sufa, F-15I Ra'am, EL/M-2032 AESA, Python-5",isr
Python-5,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Israeli_Air_Force_F-15D_Baz_957_1.jpg/1280px-Israeli_Air_Force_F-15D_Baz_957_1.jpg,Israel,Advanced Imaging IR Air-to-Air Missile,Python-5,1000,N/A (missile system),No,"5th-gen IR-guided missile with imaging seeker, high off-boresight, and lock-on-after-launch for BVR engagements up to 20+ km; enables helmet-cued shots in networked kill chains. F2T2EA: Helmet/Seeker Find; Tracks imaging IR; Targets LOAL; Engage off-boresight; Assess full sphere.","F-16I Sufa, F-35I Adir, I-Derby ER, Elbit helmet cueing",isr
Sky Sting,Rafael Advanced Defense Systems,https://upload.wikimedia.org/wikipedia/commons/4/40/Sky_Spear_missile.jpg,Israel,6th Gen Long Range Air-to-Air Missile,Sky Sting,0,N/A (developmental missile),No,"Cutting-edge 250 km range BVR missile with three-pulse rocket motor, hypersonic terminal phase, and advanced RF seeker with ECCM; in late development 2025, offered for integration on 5th/6th gen fighters. F2T2EA: Future AESA Find extreme; Tracks resilient; Targets RF ECCM; Engage 250km; Assess hypersonic.","F-35I Adir, Tejas Mk1A, AN/APG-81 AESA, I-Derby ER",isr
JAS 39 Gripen,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/SAAB_JAS39_Gripen-7763_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg/1280px-SAAB_JAS39_Gripen-7763_-_Flickr_-_Ragnhild_%26_Neil_Crawford.jpg,Sweden,Swingrole fighter / Trainer,JAS 39C/D,94,Såtenäs Air Base,Yes,"Single/two-seat with Raven ES-05 AESA radar (250 km detection), fly-by-wire, and 4-6 Meteor/AIM-120D missiles for high-Pk BVR; MS20 upgrades (complete 2025) add AI targeting; F 7 Skaraborg at Såtenäs, excels in networked ops with Erieye cueing to 150 km envelope; supports two-ship formations and ELINT fusion; integrated with Gripen E for hybrid NATO exercises. F2T2EA: PS-05/A Find/Fix; Tracks integrated; Targets Meteor/AIM-120; Engage from stations; Assess lightweight ops.","Meteor long-range BVR missile, AIM-120D AMRAAM, PS-05/A Mk 4 AESA",swe
Saab 105 Sk 60,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Saab_105OE_10.jpg/960px-Saab_105OE_10.jpg,Sweden,Advanced Trainer / Light Multirole Fighter,Sk 60A/B/C,67,Malmen Air Base,Yes,"Indigenous turbojet trainer with light attack capability, upgraded avionics (2025 mods add datalink), and 2-4 pylon loads for AIM-9/BVR-lite roles; supports Gripen conversion and secondary CAS; F 7/F 10 at Såtenäs/Ångelholm, enables cost-effective networked training for 120 km simulated envelopes via Erieye cueing. F2T2EA: Upgraded avionics Find; Tracks datalink; Targets AIM-9/BVR-lite; Engage training; Assess networked.","datalink, AIM-9, Erieye AESA radar",swe
Saab 340B AEW,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/S_100B_at_Malmen_2010-06-13_1.jpg/1280px-S_100B_at_Malmen_2010-06-13_1.jpg,Sweden,Airborne early warning and control,S 100D Argus,1,Ronneby Air Base,Yes,"Erieye AESA radar (450 km horizon) for off-board targeting and mid-course Meteor updates; sole operational unit post-Ukraine donation; F 17 at Kallinge, critical kill-chain enabler for Gripen salvos in Baltic theater. F2T2EA: Erieye AESA Find/Fix horizon; Tracks off-board; Targets Meteor updates; Engage directed; Assess enabler.","Erieye AESA radar, Meteor long-range BVR missile",swe
Global 6000 GlobalEye,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/UAEAF_GlobalEye_at_Dubai_Airshow_2021.jpg/1280px-UAEAF_GlobalEye_at_Dubai_Airshow_2021.jpg,Sweden,Airborne early warning and control,S 106,0,Uppsala Air Base,Yes,"Advanced AEW with Erieye ER AESA (550 km) for extended cueing and missile guidance; first delivery 2027, replacing Saab 340; enhances BVR to 170 km with multi-domain fusion for Gripen E ops. F2T2EA: Erieye ER AESA Find/Fix extended; Tracks cueing; Targets missile guidance; Engage fusion; Assess multi-domain.","Erieye ER AESA, Gripen E",swe
Gulfstream IV SIGINT,Gulfstream,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Gulfstream_Aerospace_S102B_Korpen_%28G-IV%29%2C_Sweden_-_Air_Force_AN1084791.jpg/1280px-Gulfstream_Aerospace_S102B_Korpen_%28G-IV%29%2C_Sweden_-_Air_Force_AN1084791.jpg,Sweden,Signals intelligence aircraft,S 102B GIV-SP Korpen,2,Ronneby Air Base,Yes,"ELINT suite (300 km sensors) for enemy radar detection/jamming, enabling BVR """"permission to shoot""""; F 17 at Kallinge, supports Gripen by degrading IADS in contested airspace. F2T2EA: ELINT suite Find threats; Tracks detection/jamming; Targets IADS; Engage degraded; Assess contested.","ELINT suite, Gripen",swe
Lockheed KC-130 Hercules,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/1/1d/Lockheed_C-130E_Hercules%2C_United_States_-_US_Air_Force_%28USAF%29_JP6636177.jpg,United States,Aerial refueling,TP 84,1,Såtenäs Air Base,Yes,"C-130H variant with probe refueling for 1.5+ hour BVR extensions on Gripen; sole tanker at F 16 Uppsala, enables sustained patrols despite limited numbers, integrated with Erieye for Arctic ops. F2T2EA: Probe refueling extends Track/Engage; Sustains patrols; Targets Arctic; Assess integrated.","Probe refueling, Erieye AESA radar",swe
Airbus A330 MRTT,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/KC-30_A39-002_refuelling_an_USAF_F-16_%28cropped%29.jpg/1280px-KC-30_A39-002_refuelling_an_USAF_F-16_%28cropped%29.jpg,Sweden,Aerial refueling,–,2,Eindhoven Air Base,Yes,"MRTT with boom/probe for 3+ hour BVR sustainment; 2 slots in multinational fleet (8 nations); supports Gripen interoperability in NATO exercises, extending envelopes to 150 km. F2T2EA: Boom/probe sustained Engage; Extends envelopes; Targets interoperability; Assess NATO.","Boom/probe refueling, Gripen",swe
JAS 39 Gripen E/F,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Gripen_-_RIAT_2019_%2849534402213%29.jpg/1280px-Gripen_-_RIAT_2019_%2849534402213%29.jpg,Sweden,Swingrole fighter,JAS 39E/F,0,Såtenäs Air Base,Yes,"Next-gen single/two-seat with PS-05/A Mk4 AESA radar (300 km detection), internal bays for 6 Meteor/AIM-120D, and AI autonomy for hybrid ops; first deliveries 2025, ramping to 60 by 2030; enhances BVR to 200 km with GlobalEye cueing. F2T2EA: PS-05/A Find/Fix; Tracks integrated; Targets Meteor/AIM-120; Engage from stations; Assess lightweight ops.","Meteor long-range BVR missile, AIM-120D AMRAAM, PS-05/A Mk 4 AESA",swe
FSAS Loyal Wingman,Saab,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/1280px-No_image_available.svg.png,Sweden,Loyal Wingman Concept,FSAS,0,,No,"AESA-equipped concept for Gripen E sensor relay and missile truck; development for swarm ops, first demonstrator 2026. F2T2EA: Concept AESA for Find; Tracks Gripen stations; Targets Meteor/AIM-120; Engage wing-mounted; Assess concept validation.","JAS-39E/F Gripen, Meteor long-range BVR missile, PS-05/A Mk 4 AESA",swe
McDonnell Douglas CF-18 Hornet,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Canadian_CF-18_Hornet_escorts_Soviet_Tupolev_Tu-95_in_1987.jpg/1280px-Canadian_CF-18_Hornet_escorts_Soviet_Tupolev_Tu-95_in_1987.jpg,Canada,Multirole Fighter,CF-18A/B,85,"CFB Cold Lake, CFB Bagotville",Yes,AN/APG-73(V) AESA Find/Fix (150 km detection); Tracks multiple via Link-16 datalink; Targets high-value threats with ECCM; Engage 6-8 AIM-120C-7; Assess battle damage via E-3 cueing and HEP II upgrades.,"AN/APG-73(V) AESA radar, AIM-120C-7 AMRAAM, LANTIRN pods",can
McDonnell Douglas F/A-18 Hornet,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/F-18E_Strike_Fighter_Squadron_115_%28VFA-115%29_flight_ops_CVN-72_2002-10-04.jpg/1280px-F-18E_Strike_Fighter_Squadron_115_%28VFA-115%29_flight_ops_CVN-72_2002-10-04.jpg,United States,Multirole Fighter,F/A-18A/B,18,"CFB Cold Lake, CFB Bagotville",Yes,AN/APG-73 radar Find/Fix interim support; Tracks integrated with CF-18 fleet; Targets via shared datalink; Engage AIM-120C-7 loads; Assess for NORAD QRA extension until F-35 IOC.,"AN/APG-73 radar, AIM-120C-7 AMRAAM, Link-16",can
Lockheed CP-140 Aurora,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/5/59/Lockheed_CP-140A_Arcturus%2C_Canada_-_Air_Force_AN0140172.jpg,Canada,Maritime Patrol / ASW,CP-140M,18,"CFB Greenwood, CFB Comox",Yes,AN/APS-134 radar Find/Fix (300 km horizon); Tracks air/surface threats with sonobuoys; Targets off-board cueing to CF-18; Engage via networked missiles; Assess Block II Link-16 fusion for Atlantic/Pacific BVR.,"AN/APS-134 radar, Link-16, Block II upgrades",can
Beechcraft CE-145C Vigilance,Beechcraft,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Beechcraft_1900D_Canada_-_Air_Force_AN2048135.jpg/1280px-Beechcraft_1900D_Canada_-_Air_Force_AN2048135.jpg,United States,ISR / Surveillance,King Air 350ER,3,CFB Trenton,Yes,EO/IR turrets Find/Fix (100+ km slant-range); Tracks real-time via SATCOM; Targets feeds to Hornets; Engage networked cueing for 120 km engagements; Assess gap-filling with 434 Squadron.,"EO/IR turrets, SATCOM, Link-16",can
Lockheed CC-130H Hercules,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/4/4e/Lockheed_CC-130H_Hercules_%28C-130H-L-382%29%2C_Canada_-_Air_Force_AN1672313.jpg,Canada,Tactical Airlifter / Tanker,CC-130H(T),12,"CFB Comox, CFB Greenwood, CFB Winnipeg",Yes,Probe refueling extends Find/Track endurance (1.5+ hours); Supports Engage in Arctic ops; Targets austere basing; Assess modernized avionics for rapid BVR deployment.,"Probe refueling system, modernized avionics, 435/436 Squadrons",can
Airbus CC-150T Polaris,Airbus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Airbus_CC-150T_Polaris_%28c-n_444%2C_s-n_15004%29_2025-02-07_Andre_Gerwing_Collection_ID_022783.jpg/1280px-Airbus_CC-150T_Polaris_%28c-n_444%2C_s-n_15004%29_2025-02-07_Andre_Gerwing_Collection_ID_022783.jpg,Canada,Strategic Transport / Tanker,CC-150T,2,CFB Trenton,Yes,Hose/drogue pods enable sustained Track/Engage patrols; Powers long-range BVR extensions; Targets via 437 Squadron; Assess bridging to CC-330 fleet by 2027.,"Hose/drogue pods, MRTT systems, 437 Squadron",can
General Atomics MQ-9B SkyGuardian,General Atomics,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/MQ-9B_SkyGuardian.jpg/1280px-MQ-9B_SkyGuardian.jpg,Canada,Unmanned ISR / Strike,UAV Block 5,2,"CFB Greenwood, CFB Comox",No,AN/DAS-4 EO/IR Find/Fix (200 km LOS); Tracks moving targets via SATCOM; Targets cued by NORAD radar; Engage with AGM-114R or guided munitions; Assess persistent BVR overwatch capability.,"AN/DAS-4 sensor, SATCOM, AGM-114R, Link-16",can
Israel Aerospace Industries CU-170 Heron,IAI,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Heron_1_RCAF.jpg/1280px-Heron_1_RCAF.jpg,Israel,Unmanned ISR,UAV Block 3,4,CFB Moose Jaw,No,EO/IR and SAR sensors Find/Fix (250 km); Tracks maritime and land targets; Targets data to CP-140 and Hornet formations; Engage cueing via ground controllers; Assess for Arctic persistence ops.,"EO/IR turret, SAR radar, SATCOM, Link-16 relay",can
F-22 Raptor,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Lockheed_Martin_F-22A_Raptor_JSOH.jpg/1280px-Lockheed_Martin_F-22A_Raptor_JSOH.jpg,United States,Air Superiority Fighter,F-22A,183,"Joint Base Langley-Eustis, Joint Base Elmendorf-Richardson",Yes,"Stealth-dominant platform with supercruise, AN/APG-77 AESA radar, and internal AIM-120D/AIM-260 bays for 6+ BVR shots; enables cooperative engagement via Link-16; production capped at 195 total, with focus on upgrades for 2040s sustainment. AN/APG-77 Find/Fix supercruise; Tracks datalink; Targets AIM-260; Engage first-look; Assess stealth.","AN/APG-77(V)1 AESA radar, AIM-260 JATM, F119 engine",us
F-35 Lightning II,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/First_F-35_headed_for_USAF_service.jpg/1280px-First_F-35_headed_for_USAF_service.jpg,United States,Multirole Stealth Fighter,F-35A/B/C,950,"Eglin AFB, Luke AFB, Hill AFB, Mountain Home AFB, Joint Base Langley-Eustis",Yes,"CTOL/STOVL/Carrier variants with AN/APG-81 AESA, sensor fusion, and 4-6 internal BVR missiles; excels in distributed aperture targeting and MADL datalink for beyond-line-of-sight kills; rapid IOC expansion to 30+ squadrons by 2025. AN/APG-77(V)1 fusion Find; Tracks network; Targets AIM-120/260; Engage 5th gen; Assess sensor fusion.","AN/APG-77(V)1 AESA radar, AIM-260 JATM, F135 engine, EOTS-3 targeting",us
F-15EX Eagle II,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/F-15EX_Eagle_II.jpg/1280px-F-15EX_Eagle_II.jpg,United States,Multirole Air Superiority Fighter,F-15EX,48,"Portland ANG Base, Selfridge ANG Base, Seymour Johnson AFB",Yes,"New-build 4.5-gen with AN/APG-82(V)1 AESA, fly-by-wire, and 12+ external BVR missiles; bridges F-22/F-35 gap for high-volume fire; scaling to 129 total by 2030. AN/APG-82 Find/Fix large radar volume; Tracks multiple; Targets via EPAWSS EW; Engage AIM-120D-3; Assess datalink feedback.","AIM-120D-3 AMRAAM, AN/APG-82(V)1 AESA, EPAWSS EW system",us
F-15E Strike Eagle,McDonnell Douglas,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/Green_Flag_West_11-08.jpg/960px-Green_Flag_West_11-08.jpg,United States,Multirole Strike Fighter,F-15E,218,"Mountain Home AFB, Seymour Johnson AFB",Yes,"Dual-role backbone with APG-70/82 AESA, up to 8 AIM-120 AMRAAM, and EPAWSS EW for air superiority in contested strikes; 100+ legacy kills. AN/APG-70 Find/Fix; Tracks multitarget; Targets AIM-120; Engage fire-forget; Assess datalink.","AN/APG-82(V)1 AESA, AIM-120D AMRAAM, F100 engine",us
F/A-18E/F Super Hornet,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/United_States_F-A-18_Super_Hornets_and_Greek_F-16_Fighting_Falcons_conduct_air-to-air_training_over_the_Ionian_Sea_as_a_part_of_Neptune_Strike_2022_%287034795%29.jpg/1280px-thumbnail.jpg,United States,Carrier-Based Multirole Fighter,"F/A-18E, F/A-18F",421,"NAS Lemoore, NAS Oceana",Yes,"Block III upgrades include AN/APG-79 AESA, IRST, and 10+ AIM-120 loads; vital for carrier BVR until F-35C maturity; fleet hit 12 M flight hours in 2025, with SLM extending life to 10,000 hours. AN/APG-79(V)4 Find/Fix; Tracks AMRAAM; Targets EW protected; Engage BVR; Assess V4 upgrade.","AN/APG-79(V)4 AESA, AIM-120D-3 AMRAAM, AN/ALR-94 EW suite",us
EA-18G Growler,Boeing,https://upload.wikimedia.org/wikipedia/commons/1/15/An_EA-18G_Growler_of_the_Electronic_Attack_Squadron_141_%28United_States_Navy%29_in_Lisbon_%285815010398%29.jpg,United States,Carrier-Based Electronic Warfare Aircraft,EA-18G,160,NAS Whidbey Island,Yes,"ALQ-218/249 jammers suppress enemy radars for BVR “permission to shoot”; integrates with F-35/F/A-18 via Link-16; full-rate production complete, supporting all 11 carrier air wings; fleet surpasses 12 M flight hours. EW for Track protection; Fixes threats passively; Targets jamming; Engage supported; Assess F-22.","AN/APG-79(V)4 AESA, ALQ-218/249 jammers, Link-16",us
F-16 Fighting Falcon,Lockheed Martin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/F-16_June_2008.jpg/1280px-F-16_June_2008.jpg,United States,Multirole Fighter,"F-16C, F-16D",762,"Shaw AFB, Eglin AFB, Luke AFB",Yes,"Block 50/52+ with AN/APG-83 AESA, Sniper pod, and 6 AIM-120 pylons; cost-effective BVR filler during F-35 ramp-up; ~900 total but 762 combat-coded in 2025, with ongoing retirements and upgrades. AN/APG-83 Find/Fix; Tracks integrated; Targets AIM-120; Engage from pylons; Assess lightweight ops.","AN/APG-83 AESA, AIM-120D AMRAAM, Sniper pod",us
E-3 Sentry,Boeing,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/E-3_Sentry_Airborne_Warning_and_Control_System_%28AWACS%29_conducts_a_mission.jpg/960px-E-3_Sentry_Airborne_Warning_and_Control_System_%28AWACS%29_conducts_a_mission.jpg,United States,Airborne Early Warning & Control,E-3G,31,Tinker AFB,Yes,"Rotodome-mounted AN/APY-2 radar for 360° surveillance out to 250+ nm, directing BVR intercepts and battle management via Link-16; 16-19 crew; Block 40/45 upgrades sustain fleet until E-7 transition in 2030s; 15 retirements planned. AN/APY-2 for Find/Fix distant; Tracks from AWACS; Targets selection networked; Engage directed; Assess battle management.","AN/APY-2 radar, Link-16, TF33 engines",us
MQ-20 Avenger,General Atomics Aeronautical,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/A_Predator_C_Avenger_unmanned_aircraft_system_and_inert_ordnance_sit_on_display_on_a_tarmac_at_Palmdale%2C_Calif.%2C_Aug._8%2C_2012_120808-N-WL435-054.jpg/960px-A_Predator_C_Avenger_unmanned_aircraft_system_and_inert_ordnance_sit_on_display_on_a_tarmac_at_Palmdale%2C_Calif.%2C_Aug._8%2C_2012_120808-N-WL435-054.jpg,United States,Unmanned Combat Aircraft,MQ-20 Avenger CCA,0,Edwards AFB,No,AESA nose for Find/Fix distant targets; Datalink Track from AWACS; Target selection networked; Engage AIM-120D-3 internally; Assess battle damage.,"AIM-120D-3 AMRAAM, F-15EX Eagle II, AN/APG-82(V)1 AESA",us
MQ-1 Predator,General Atomics Aeronautical,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/MQ-1_Predator.jpg/960px-MQ-1_Predator.jpg,United States,Collaborative Combat Aircraft,Gambit CCA-A,0,Creech AFB,No,Variant A focuses on Find via low-cost sensors; Tracks in formation; Targets for suppression; Engage small BVR weapons; Assess attritable loss.,"XQ-58A Valkyrie CCA, AIM-120D AMRAAM, EPAWSS EW system",us
XQ-58A Valkyrie,Kratos Defense & Security,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/U.S._Marine_Corps_XQ-58A_Valkyrie.jpg/960px-U.S._Marine_Corps_XQ-58A_Valkyrie.jpg,United States,Low-Cost Attritable Collaborative Combat Aircraft,XQ-58A,0,Eglin AFB,No,Low-cost attritable for Find in contested space; Tracks via datalink; Targets as decoy/launcher; Engage AIM-120D-3; Assess disposable.,"AIM-120D-3 AMRAAM, F-22 Raptor, AN/APG-77(V)1",us
YFQ-44A Fury,Anduril Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/YFQ-44_ground_test.jpg/960px-YFQ-44_ground_test.jpg,United States,Autonomous Air Vehicle / CCA,YFQ-44A,0,Nellis AFB,No,Find/Fix/Track via onboard AESA and networked datalinks from F-35; Target high-value threats; Engage with internal AIM-120D-3; Assess via swarm coordination.,"F-35 Lightning II, AIM-120D-3 AMRAAM, AN/APG-85 AESA",us
Altius-600M loyal-wingman,Anduril Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/1200x600-UAS.jpg/960px-1200x600-UAS.jpg,United States,Loyal Wingman,Altius-600M,0,Edwards AFB,No,Loyal wingman extends sensor fusion for Find/Fix; Tracks via AI relay; Targets as missile truck; Engages with AIM-260; Assesses returns to base.,"AIM-260 JATM, F-22 Raptor, AN/APG-77(V)1 AESA radar",us
Roadrunner-M supersonic,Anduril Industries,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Anduril_Roadrunner_at_IDEX_2025.jpg/960px-Anduril_Roadrunner_at_IDEX_2025.jpg,United States,Collaborative Combat Aircraft,Roadrunner-M,0,Nellis AFB,No,Supersonic dash for rapid Track/Fix; AI autonomous targeting; Engage/return with rotary bay BVR missiles; Assess via recoverable design.,"AIM-120D-3 AMRAAM, MQ-20 Avenger CCA, AN/ALR-94 EW suite",us
Eurofighter Typhoon,Eurofighter,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/30%2B68_German_Air_Force_Eurofighter_Typhoon_EF2000_ILA_Berlin_2016_06.jpg/1280px-30%2B68_German_Air_Force_Eurofighter_Typhoon_EF2000_ILA_Berlin_2016_06.jpg,Germany,Multirole Fighter,"Tranche 1/2/3/4, TIE",172,"Nörvenich Air Base, Laage Air Base, Neuburg Air Base",Yes,"Backbone with CAPTOR-E AESA (250 km range vs. 3m²), 4-6 Meteor/AIM-120C-5 pylons for high-Pk BVR; Tranche 4 upgrades (2025 IOC) add AI targeting and drone integration; two-seat trainers with identical radar for BVR tactics; ~24 T1, 58 T2, 56 T3, 3 T4 fighters +31 trainers active across JG 31/73/74; 38 more T4 +20 T5 on order for 2060s sustainment, integrated with NATO Link-16. F2T2EA: CAPTOR-E AESA Find/Fix; Tracks Link-16; Targets Meteor; Engage high-Pk; Assess AI targeting.","CAPTOR-E AESA radar, Meteor long-range BVR missile, Link-16",de
Panavia Tornado,Panavia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/RAF_Tornado_GR4_MOD_45155233.jpg/960px-RAF_Tornado_GR4_MOD_45155233.jpg,Germany,Strike Fighter / SEAD,"IDS, ECR",93,Büchel Air Base,Yes,"Multirole with RDY-2 radar (150 km) and 4-6 Meteor/MICA upgrades (2025 rollout) for BVR strikes; nuclear-certified for NATO sharing; ECR Wild Weasel with ALQ-184 jammers to suppress radars, enabling Typhoon BVR salvos; 2025 upgrades add Meteor for self-defense; JaBoG 32/33 & JG 32 at Büchel, retaining ~46 IDS +22 ECR to 2025+ amid F-35 transition; SEAD-capable with HARM. F2T2EA: RDY-2 Find/Fix; Tracks jammers; Targets Meteor/MICA; Engage SEAD/BVR; Assess upgrades.","RDY-2 radar, Meteor long-range BVR missile, ALQ-184 jammers",de
Airbus A400M Atlas,Airbus Germany,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Airbus_A400M_Atlas.jpg/1280px-Airbus_A400M_Atlas.jpg,Germany,Tactical Airlifter / Refueling,A400M,50,Wunstorf Air Base,Yes,"Strategic/tactical transport with underwing pods for probe refueling, extending Typhoon BVR sorties by 2+ hours; 49th delivered Jun 2025 toward 53 total; LTG 62 at Wunstorf, DIRCM upgrades (23 units) for contested ops. F2T2EA: Refueling extends Track/Engage; Deploys assets Find; Targets surge basing; Assess DIRCM.","Underwing refueling pods, DIRCM, Eurofighter Typhoon",de
